latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,vpd,tmmx_C,pr,wind_speed,wind_direction,
34.15525,-118.19636,297.27,0.42,0.61,1/13/2024,854,N,VIIRS,n,2,276.29,0.97,N,2,1.0561813,23.195343,2.454945,2.4376373,186.12637,
34.60779,-117.33716,306.5,0.52,0.67,1/13/2024,1034,N,VIIRS,n,2,275.59,2.04,N,0,1.5857692,23.445892,0.5857143,4.446978,200.95055,
34.43069,-118.64589,317.33,0.43,0.38,1/13/2025,932,N,VIIRS,n,2,278.32,1.56,N,2,1.1335714,23.251923,2.337912,3.3513737,170.9066,
34.33393,-118.52045,327.62,0.39,0.36,1/13/2025,2051,N,VIIRS,n,2,291.9,1.08,D,2,1.004478,21.653564,2.6324177,3.3162088,194.5467,
33.8532,-118.33359,306.86,0.56,0.51,1/14/2015,913,N,VIIRS,n,2,288.83,1.97,N,2,0.70722526,21.214294,1.7609891,2.31511,224.31044,
34.0895,-117.52882,298.11,0.77,0.78,1/14/2015,1053,N,VIIRS,n,2,279.44,1.69,N,0,1.1671429,24.417603,1.7824175,3.1854396,208.9945,
33.85126,-118.32861,295.8,0.71,0.75,1/14/2015,1054,N,VIIRS,n,2,284.35,1.85,N,2,0.70722526,21.214294,1.7609891,2.31511,224.31044,
34.0927,-117.52936,332.15,0.41,0.45,1/14/2015,2033,N,VIIRS,n,2,295.66,3.92,D,2,1.1671429,24.417603,1.7824175,3.1854396,208.9945,
34.62114,-117.10065,303.46,0.41,0.45,1/14/2016,1004,N,VIIRS,n,2,276.81,1.14,N,0,1.5857692,23.445892,0.5857143,4.446978,200.95055,
33.80467,-118.24178,295.69,0.55,0.43,1/14/2016,1005,N,VIIRS,n,2,285.55,1.47,N,2,0.74436814,21.822815,1.4532967,2.418956,216.10165,
34.09641,-117.53487,297.21,0.62,0.54,1/14/2017,900,N,VIIRS,n,2,278.47,1.03,N,2,1.1671429,24.417603,1.7824175,3.1854396,208.9945,
34.09187,-117.53019,314.68,0.64,0.72,1/14/2017,1040,N,VIIRS,n,2,277.68,2.29,N,2,1.1671429,24.417603,1.7824175,3.1854396,208.9945,
33.77462,-118.22717,297.84,0.6,0.71,1/14/2017,1041,N,VIIRS,n,2,280.27,2.03,N,2,0.74436814,21.822815,1.4532967,2.418956,216.10165,
34.09497,-117.53103,318.17,0.5,0.41,1/14/2018,956,N,VIIRS,n,2,278.53,1.48,N,2,1.1671429,24.417603,1.7824175,3.1854396,208.9945,
33.85246,-118.32927,300.52,0.47,0.39,1/14/2018,957,N,VIIRS,n,2,287.35,1,N,2,0.70722526,21.214294,1.7609891,2.31511,224.31044,
34.09386,-117.52831,328.27,0.4,0.44,1/14/2018,2116,N,VIIRS,n,2,299.25,2.02,D,2,1.1671429,24.417603,1.7824175,3.1854396,208.9945,
34.6078,-117.33633,306.85,0.47,0.48,1/14/2020,1008,N,VIIRS,n,2,275.85,1.73,N,2,1.5857692,23.445892,0.5857143,4.446978,200.95055,
34.3632,-118.9552,341.81,0.5,0.49,1/14/2020,2128,N,VIIRS,n,2,292.5,6.13,D,0,0.97162086,22.209625,2.348901,2.9898353,193.48352,
33.77629,-118.22942,299.34,0.55,0.51,1/14/2021,906,N,VIIRS,n,2,282.22,1.81,N,2,0.74436814,21.822815,1.4532967,2.418956,216.10165,
33.85104,-118.33148,299.12,0.71,0.75,1/14/2021,1046,N,VIIRS,n,2,284.58,1.51,N,0,0.70722526,21.214294,1.7609891,2.31511,224.31044,
34.29107,-118.80225,302.81,0.51,0.41,1/14/2022,1003,N,VIIRS,n,2,279.01,1.06,N,2,0.8606044,21.211548,2.2247252,3.1618133,176.43681,
33.85426,-118.33557,295.93,0.79,0.78,1/14/2024,835,N,VIIRS,n,2,282.72,1.83,N,2,0.70722526,21.214294,1.7609891,2.31511,224.31044,
34.61015,-117.33714,299.79,0.58,0.52,1/14/2024,1016,N,VIIRS,n,2,276.89,1.71,N,2,1.5857692,23.445892,0.5857143,4.446978,200.95055,
34.09831,-117.30178,318.83,0.4,0.44,1/14/2025,913,N,VIIRS,n,2,276.71,2.41,N,0,1.1671429,24.417603,1.7824175,3.1854396,208.9945,
33.9903,-117.38967,342.77,0.5,0.41,1/14/2025,2032,N,VIIRS,n,2,302.68,27.21,D,0,1.1268132,24.76648,1.4104396,2.9582417,208.9945,
34.15336,-118.19089,325.33,0.54,0.42,1/14/2025,2033,N,VIIRS,n,2,296.16,2.22,D,2,1.0561813,23.195343,2.454945,2.4376373,186.12637,
34.07779,-117.49718,300.14,0.47,0.64,1/15/2015,854,N,VIIRS,n,2,273.19,1.55,N,2,1.1671429,24.417603,1.7824175,3.1854396,208.9945,
34.09349,-117.52999,311.31,0.43,0.62,1/15/2015,1035,N,VIIRS,n,2,276.42,1.78,N,2,1.1671429,24.417603,1.7824175,3.1854396,208.9945,
34.09611,-117.53535,330.39,0.37,0.58,1/15/2015,2014,N,VIIRS,n,2,296.67,1.67,D,2,1.1671429,24.417603,1.7824175,3.1854396,208.9945,
34.09225,-117.53254,334.19,0.56,0.69,1/15/2015,2154,N,VIIRS,n,2,297.77,3.59,D,2,1.1671429,24.417603,1.7824175,3.1854396,208.9945,
33.71424,-117.70935,315.92,0.39,0.36,1/15/2016,946,N,VIIRS,n,2,281.1,1.23,N,0,0.81826925,21.389008,2.1343408,3.098901,198.63461,
33.77855,-118.23669,296.5,0.33,0.55,1/15/2017,1022,N,VIIRS,n,2,286.24,0.85,N,0,0.74436814,21.822815,1.4532967,2.418956,216.10165,
34.09236,-117.53172,329.38,0.38,0.36,1/15/2018,938,N,VIIRS,n,2,281.58,2.6,N,2,1.1671429,24.417603,1.7824175,3.1854396,208.9945,
34.09313,-117.52962,332.4,0.4,0.37,1/15/2018,2057,N,VIIRS,n,2,292.8,3.16,D,2,1.1671429,24.417603,1.7824175,3.1854396,208.9945,
34.60658,-117.33507,298.23,0.43,0.38,1/15/2020,949,N,VIIRS,n,2,274.36,1.41,N,2,1.5857692,23.445892,0.5857143,4.446978,200.95055,
34.33458,-118.51989,317.4,0.4,0.37,1/15/2020,950,N,VIIRS,n,2,276.98,1.79,N,2,1.004478,21.653564,2.6324177,3.3162088,194.5467,
34.36435,-118.95665,337.36,0.44,0.38,1/15/2020,2109,N,VIIRS,n,2,292.77,7.41,D,0,0.97162086,22.209625,2.348901,2.9898353,193.48352,
33.85197,-118.33274,305.64,0.53,0.67,1/15/2021,847,N,VIIRS,n,2,288.18,2.12,N,0,0.70722526,21.214294,1.7609891,2.31511,224.31044,
33.85138,-118.33226,302.38,0.39,0.6,1/15/2021,1027,N,VIIRS,n,2,287.07,1.74,N,0,0.70722526,21.214294,1.7609891,2.31511,224.31044,
34.62261,-117.1015,302.12,0.4,0.37,1/15/2022,944,N,VIIRS,n,2,269.01,1.19,N,2,1.5857692,23.445892,0.5857143,4.446978,200.95055,
33.85365,-118.33098,300,0.47,0.39,1/15/2024,957,N,VIIRS,n,2,285.87,2.04,N,2,0.70722526,21.214294,1.7609891,2.31511,224.31044,
34.60687,-117.33801,308.21,0.37,0.58,1/15/2025,854,N,VIIRS,n,2,274.19,1.42,N,2,1.5857692,23.445892,0.5857143,4.446978,200.95055,
33.8143,-118.23772,296.13,0.41,0.61,1/15/2025,855,N,VIIRS,n,2,282.52,1.53,N,2,0.7206044,21.610718,1.5906594,2.3010988,216.10165,
34.60884,-117.33545,309.41,0.53,0.67,1/15/2025,1035,N,VIIRS,n,2,272.56,1.55,N,2,1.5857692,23.445892,0.5857143,4.446978,200.95055,
34.15262,-118.19268,325.28,0.32,0.54,1/15/2025,2014,N,VIIRS,n,2,296.63,1.8,D,2,1.0561813,23.195343,2.454945,2.4376373,186.12637,
34.09491,-117.5332,330.95,0.48,0.48,1/16/2015,1016,N,VIIRS,n,2,281.62,3.95,N,2,1.1671429,24.417603,1.7824175,3.1854396,208.9945,
